Rank,Team,Short Passes pg,Goals,Shots pg,Through Balls pg,Aerials Won,Year ,Champion 
8,Athletic Club,362,42,11.7,3,22.7,,0
9,Real Sociedad,333,44,11.3,1,21.2,,0
10,Espanyol,284,47,9.7,2,17.6,,0
11,Rayo Vallecano,388,46,12.9,1,17.9,,0
12,Malaga,306,42,12.1,2,15.5,,0
13,Deportivo La Coruna,322,35,10.5,1,17,,0
14,Getafe,306,33,11.1,1,16.8,,0
15,Almeria,248,35,10.4,1,16.2,,0
16,Cordoba,319,22,10.3,1,18.9,,0
17,Eibar,259,34,9.3,1,20.3,,0
18,Granada,280,29,10.6,1,17.3,,0
19,Levante,272,34,10.6,1,19.1,,0
20,Elche,320,35,10.7,1,15.6,,0
1,Barcelona,581,111,15.9,5,9.9,2015-2016,1
2,Real Madrid,507,110,18.7,2,11.3,,0
3,Las Palmas,446,44,11,1,14.1,,0
4,Celta Vigo,429,53,11.7,2,15.2,,0
5,Atletico Madrid,394,63,12.5,2,16.5,,0
6,Real Sociedad,367,45,12,2,17.8,,0
7,Rayo Vallecano,366,52,13.2,1,17.1,,0
8,Valencia,357,45,10.5,1,15.7,,0
9,Villarreal,356,43,9,2,13.2,,0
10,Athletic Club,355,59,12,1,21.2,,0
11,Sevilla,342,51,12.1,2,16.3,,0
12,Deportivo La Coruna,331,42,12,1,15.1,,0
13,Real Betis,323,34,10.4,1,15.2,,0
14,Malaga,322,40,11.9,1,17.1,,0
15,Levante,310,37,11.4,1,18.7,,0
16,Espanyol,309,41,10.3,1,15.7,,0
17,Getafe,305,36,11.5,1,12.1,,0
18,Sporting Gijon,298,40,9.8,0,13.9,,0
19,Eibar,286,48,11,1,18.8,,0
20,Granada,278,46,11.3,1,14.6,,0
1,Barcelona,567,116,17.1,3,9.1,2016-2017,0
2,Las Palmas,491,53,11.6,1,10,,0
3,Real Madrid,478,106,17.4,1,12.8,,1
4,Sevilla,458,69,12.8,1,13.5,,0
5,Real Sociedad,427,59,13,1,14.6,,0
6,Celta Vigo,403,53,10.6,1,14.3,,0
7,Atletico Madrid,395,70,13.3,1,16.1,,0
8,Villarreal,394,56,11.3,1,12.4,,0
9,Valencia,370,56,11.8,1,12.9,,0
10,Athletic Club,356,53,12.8,1,20.5,,0
11,Malaga,347,49,12.9,1,17.3,,0
12,Deportivo La Coruna,333,43,12.1,0,15.8,,0
13,Real Betis,328,41,11.6,1,14.5,,0
14,Espanyol,324,49,9,0,14.4,,0
15,Sporting Gijon,313,42,9.9,0,15.2,,0
16,Deportivo Alaves,312,41,10.4,1,18,,0
17,Granada,311,30,10.1,1,12.9,,0
18,Leganes,298,36,10.7,1,18.9,,0
19,Eibar,296,56,11.9,0,18.8,,0
20,Osasuna,252,40,10.3,0,17.1,,0
1,Barcelona,590,99,15.3,3,9.3,2017-2018,1
2,Real Madrid,543,94,18.4,2,11.1,,0
3,Real Betis,474,60,11,1,12.2,,0
4,Celta Vigo,448,59,11.8,1,15,,0
5,Sevilla,444,49,13.6,2,15.9,,0
6,Real Sociedad,442,66,13.7,1,13.7,,0
7,Las Palmas,424,24,10.9,1,13.3,,0
8,Villarreal,400,57,12.5,2,15.2,,0
9,Atletico Madrid,390,58,10.7,2,15.2,,0
10,Valencia,381,65,12.7,1,14.8,,0
11,Athletic Club,344,41,11.3,1,19.8,,0
12,Deportivo La Coruna,338,38,12.3,1,15.3,,0
13,Espanyol,338,36,10.9,1,16.6,,0
14,Eibar,324,44,12.4,0,20.6,,0
15,Malaga,303,24,10.6,1,16.2,,0
16,Girona,302,50,12,1,17.7,,0
17,Levante,284,44,10.8,1,13.2,,0
18,Leganes,278,34,10.4,1,18.1,,0
19,Deportivo Alaves,262,40,10.3,1,17,,0
20,Getafe,229,42,9.8,1,15,,0
1,Barcelona,619,90,14.7,4,12.1,2018-2019,1
2,Atletico Madrid,405,55,11.7,2,18.2,,0
3,Real Madrid,533,63,15.6,2,13.1,,0
4,Valencia,364,51,12.6,1,16.3,,0
5,Sevilla,386,62,13.9,1,17.9,,0
6,Villarreal,364,49,13,1,16.9,,0
7,Real Sociedad,387,45,11.3,2,19,,0
8,Eibar,342,46,14,1,27.1,,0
9,Real Betis,515,44,11.7,1,12.7,,0
10,Celta Vigo,397,53,11.9,1,18,,0
11,Espanyol,370,48,12.5,2,16.3,,0
12,Getafe,219,48,10.6,1,22.8,,0
13,Athletic Club,352,41,10.2,1,25.3,,0
14,Leganes,284,37,11,1,25.1,,0
15,Deportivo Alaves,259,39,11.3,1,23.6,,0
16,Levante,289,59,11.6,1,13.1,,0
17,Girona,346,37,10.5,1,20.4,,0
18,SD Huesca,282,43,12.4,1,20.3,,0
19,Rayo Vallecano,326,41,12.1,1,14.6,,0
20,Real Valladolid,315,32,10.9,1,16.3,,0
1,Barcelona,619,86,13,2,12.5,2019-2020,0
2,Real Madrid,517,70,14.8,2,14.1,,1
3,Sevilla,456,54,12.9,1,20.4,,0
4,Atletico Madrid,370,51,11.8,2,22.7,,0
5,Villarreal,424,63,13,1,15.1,,0
6,Real Sociedad,434,56,11.3,1,22.4,,0
7,Athletic Club,329,41,10.8,0,24.9,,0
8,Granada,263,52,10.4,0,20.4,,0
9,Real Betis,424,48,12.6,1,15.8,,0
10,Celta Vigo,396,37,9.7,1,17.7,,0
11,Osasuna,299,46,12.2,0,23.7,,0
12,Getafe,228,43,10.9,1,25,,0
13,Valencia,364,46,8.9,1,15,,0
14,Levante,328,47,11.2,1,14.1,,0
15,Eibar,277,39,11.3,0,26.4,,0
16,Real Valladolid,297,32,9.9,1,17.1,,0
17,Leganes,279,30,11.4,1,21.3,,0
18,Mallorca,318,40,11.1,0,17.5,,0
19,Deportivo Alaves,263,34,8.2,0,24.5,,0
20,Espanyol,320,27,10.8,1,21,,0
1,Barcelona,678,85,15.3,2,10.6,2020-2021,0
2,Real Madrid,535,67,14.4,1,11.8,,0
3,Atletico Madrid,450,67,12.1,1,14.4,,1
4,Sevilla,494,53,12.1,1,16.6,,0
5,Villarreal,466,60,10.7,1,13,,0
6,Real Sociedad,404,59,11.3,1,17.9,,0
7,Real Betis,422,50,11.7,0,16.4,,0
8,Valencia,335,50,10.3,1,16.3,,0
9,Celta Vigo,413,55,9.4,1,16.5,,0
10,SD Huesca,354,34,10.7,0,15.7,,0
11,Athletic Club,360,46,10.6,0,17.9,,0
12,Osasuna,282,37,9.8,0,26.8,,0
13,Eibar,306,29,11.9,0,24.4,,0
14,Deportivo Alaves,276,36,9.1,0,22.6,,0
15,Levante,375,46,10.1,1,12.3,,0
16,Getafe,244,28,9.5,0,22.8,,0
17,Elche,350,34,7.1,0,13.2,,0
18,Granada,244,47,9.4,0,18.3,,0
19,Cadiz,212,36,8,0,18.5,,0
20,Real Valladolid,295,34,9.7,1,17.1,,0
1,Barcelona,564,68,13.6,2,12.2,2021-2022,0
