Rank,Team,Short Passes pg,Goals,Shots pg,Through Balls pg,Aerials Won,Year 
11,Rayo Vallecano,388,46,12.9,1,17.9,2014-2025
12,Malaga,306,42,12.1,2,15.5,2014-2026
13,Deportivo La Coruna,322,35,10.5,1,17,2014-2027
14,Getafe,306,33,11.1,1,16.8,2014-2028
15,Almeria,248,35,10.4,1,16.2,2014-2029
16,Cordoba,319,22,10.3,1,18.9,2014-2030
17,Eibar,259,34,9.3,1,20.3,2014-2031
18,Granada,280,29,10.6,1,17.3,2014-2032
19,Levante,272,34,10.6,1,19.1,2014-2033
20,Elche,320,35,10.7,1,15.6,2014-2034
1,Barcelona,581,111,15.9,5,9.9,2015-2016
2,Real Madrid,507,110,18.7,2,11.3,2015-2017
3,Las Palmas,446,44,11,1,14.1,2015-2018
4,Celta Vigo,429,53,11.7,2,15.2,2015-2019
5,Atletico Madrid,394,63,12.5,2,16.5,2015-2020
6,Real Sociedad,367,45,12,2,17.8,2015-2021
7,Rayo Vallecano,366,52,13.2,1,17.1,2015-2022
8,Valencia,357,45,10.5,1,15.7,2015-2023
9,Villarreal,356,43,9,2,13.2,2015-2024
10,Athletic Club,355,59,12,1,21.2,2015-2025
11,Sevilla,342,51,12.1,2,16.3,2015-2026
12,Deportivo La Coruna,331,42,12,1,15.1,2015-2027
13,Real Betis,323,34,10.4,1,15.2,2015-2028
14,Malaga,322,40,11.9,1,17.1,2015-2029
15,Levante,310,37,11.4,1,18.7,2015-2030
16,Espanyol,309,41,10.3,1,15.7,2015-2031
17,Getafe,305,36,11.5,1,12.1,2015-2032
18,Sporting Gijon,298,40,9.8,0,13.9,2015-2033
19,Eibar,286,48,11,1,18.8,2015-2034
20,Granada,278,46,11.3,1,14.6,2015-2035
1,Barcelona,567,116,17.1,3,9.1,2016-2017
2,Las Palmas,491,53,11.6,1,10,2016-2018
3,Real Madrid,478,106,17.4,1,12.8,2016-2019
4,Sevilla,458,69,12.8,1,13.5,2016-2020
5,Real Sociedad,427,59,13,1,14.6,2016-2021
6,Celta Vigo,403,53,10.6,1,14.3,2016-2022
7,Atletico Madrid,395,70,13.3,1,16.1,2016-2023
8,Villarreal,394,56,11.3,1,12.4,2016-2024
9,Valencia,370,56,11.8,1,12.9,2016-2025
10,Athletic Club,356,53,12.8,1,20.5,2016-2026
11,Malaga,347,49,12.9,1,17.3,2016-2027
12,Deportivo La Coruna,333,43,12.1,0,15.8,2016-2028
13,Real Betis,328,41,11.6,1,14.5,2016-2029
14,Espanyol,324,49,9,0,14.4,2016-2030
15,Sporting Gijon,313,42,9.9,0,15.2,2016-2031
16,Deportivo Alaves,312,41,10.4,1,18,2016-2032
17,Granada,311,30,10.1,1,12.9,2016-2033
18,Leganes,298,36,10.7,1,18.9,2016-2034
19,Eibar,296,56,11.9,0,18.8,2016-2035
20,Osasuna,252,40,10.3,0,17.1,2016-2036
1,Barcelona,590,99,15.3,3,9.3,2017-2018
2,Real Madrid,543,94,18.4,2,11.1,2017-2019
3,Real Betis,474,60,11,1,12.2,2017-2020
4,Celta Vigo,448,59,11.8,1,15,2017-2021
5,Sevilla,444,49,13.6,2,15.9,2017-2022
6,Real Sociedad,442,66,13.7,1,13.7,2017-2023
7,Las Palmas,424,24,10.9,1,13.3,2017-2024
8,Villarreal,400,57,12.5,2,15.2,2017-2025
9,Atletico Madrid,390,58,10.7,2,15.2,2017-2026
10,Valencia,381,65,12.7,1,14.8,2017-2027
11,Athletic Club,344,41,11.3,1,19.8,2017-2028
12,Deportivo La Coruna,338,38,12.3,1,15.3,2017-2029
13,Espanyol,338,36,10.9,1,16.6,2017-2030
14,Eibar,324,44,12.4,0,20.6,2017-2031
15,Malaga,303,24,10.6,1,16.2,2017-2032
16,Girona,302,50,12,1,17.7,2017-2033
17,Levante,284,44,10.8,1,13.2,2017-2034
18,Leganes,278,34,10.4,1,18.1,2017-2035
19,Deportivo Alaves,262,40,10.3,1,17,2017-2036
20,Getafe,229,42,9.8,1,15,2017-2037
1,Barcelona,619,90,14.7,4,12.1,2018-2019
2,Atletico Madrid,405,55,11.7,2,18.2,2018-2020
3,Real Madrid,533,63,15.6,2,13.1,2018-2021
4,Valencia,364,51,12.6,1,16.3,2018-2022
5,Sevilla,386,62,13.9,1,17.9,2018-2023
6,Villarreal,364,49,13,1,16.9,2018-2024
7,Real Sociedad,387,45,11.3,2,19,2018-2025
8,Eibar,342,46,14,1,27.1,2018-2026
9,Real Betis,515,44,11.7,1,12.7,2018-2027
10,Celta Vigo,397,53,11.9,1,18,2018-2028
11,Espanyol,370,48,12.5,2,16.3,2018-2029
12,Getafe,219,48,10.6,1,22.8,2018-2030
13,Athletic Club,352,41,10.2,1,25.3,2018-2031
14,Leganes,284,37,11,1,25.1,2018-2032
15,Deportivo Alaves,259,39,11.3,1,23.6,2018-2033
16,Levante,289,59,11.6,1,13.1,2018-2034
17,Girona,346,37,10.5,1,20.4,2018-2035
18,SD Huesca,282,43,12.4,1,20.3,2018-2036
19,Rayo Vallecano,326,41,12.1,1,14.6,2018-2037
20,Real Valladolid,315,32,10.9,1,16.3,2018-2038
1,Barcelona,619,86,13,2,12.5,2019-2020
2,Real Madrid,517,70,14.8,2,14.1,2019-2021
3,Sevilla,456,54,12.9,1,20.4,2019-2022
4,Atletico Madrid,370,51,11.8,2,22.7,2019-2023
5,Villarreal,424,63,13,1,15.1,2019-2024
6,Real Sociedad,434,56,11.3,1,22.4,2019-2025
7,Athletic Club,329,41,10.8,0,24.9,2019-2026
8,Granada,263,52,10.4,0,20.4,2019-2027
9,Real Betis,424,48,12.6,1,15.8,2019-2028
10,Celta Vigo,396,37,9.7,1,17.7,2019-2029
11,Osasuna,299,46,12.2,0,23.7,2019-2030
12,Getafe,228,43,10.9,1,25,2019-2031
13,Valencia,364,46,8.9,1,15,2019-2032
14,Levante,328,47,11.2,1,14.1,2019-2033
15,Eibar,277,39,11.3,0,26.4,2019-2034
16,Real Valladolid,297,32,9.9,1,17.1,2019-2035
17,Leganes,279,30,11.4,1,21.3,2019-2036
18,Mallorca,318,40,11.1,0,17.5,2019-2037
19,Deportivo Alaves,263,34,8.2,0,24.5,2019-2038
20,Espanyol,320,27,10.8,1,21,2019-2039
1,Barcelona,678,85,15.3,2,10.6,2020-2021
2,Real Madrid,535,67,14.4,1,11.8,2020-2022
3,Atletico Madrid,450,67,12.1,1,14.4,2020-2023
4,Sevilla,494,53,12.1,1,16.6,2020-2024
5,Villarreal,466,60,10.7,1,13,2020-2025
6,Real Sociedad,404,59,11.3,1,17.9,2020-2026
